baseline,baseline_family,channel_size,num_enabled,macro_auroc_median,macro_auroc_std,macro_auprc_median,macro_auprc_std,macro_r2_median,macro_r2_std,macro_pearson_median,macro_pearson_std,file
RandomProjection512,random_feature,512,1,0.505724,0.00125694,0.16766,0.00135106,-1.61458,0.0214952,0.277939,0.001105,Baseline-RandomProjection512-L512__num_enabled_1.json
RandomProjection512,random_feature,512,2,0.502038,0.000839542,0.18093,0.000767071,-0.293778,0.003147,0.21,0.00151041,Baseline-RandomProjection512-L512__num_enabled_2.json
RandomProjection512,random_feature,512,3,0.501405,0.000327781,0.236483,0.000546742,-0.19939,0.00210308,0.18937,0.00151432,Baseline-RandomProjection512-L512__num_enabled_3.json
RawDownsample512,raw_waveform,128,1,0.505306,0.00166752,0.142291,0.000589977,0.266683,0.00313607,0.533218,0.00215545,Baseline-RawDownsample512-L128__num_enabled_1.json
RawDownsample512,raw_waveform,128,2,0.502398,0.000752848,0.178997,0.000430877,0.0455244,0.00156469,0.336282,0.00139707,Baseline-RawDownsample512-L128__num_enabled_2.json
RawDownsample512,raw_waveform,128,3,0.501834,0.000450667,0.242459,0.00044522,-0.0112119,0.00145848,0.294518,0.00109376,Baseline-RawDownsample512-L128__num_enabled_3.json
RawDownsample512,raw_waveform,16384,1,0.501548,0.000690941,0.133708,0.000501758,-26.8237,0.740889,0.409734,0.0025888,Baseline-RawDownsample512-L16384__num_enabled_1.json
RawDownsample512,raw_waveform,16384,2,0.501429,0.000471261,0.178126,0.000427059,-371.225,6.57065,0.12319,0.00225753,Baseline-RawDownsample512-L16384__num_enabled_2.json
RawDownsample512,raw_waveform,16384,3,0.501229,0.000518118,0.24137,0.00047406,-30.277,0.734652,0.110625,0.00159277,Baseline-RawDownsample512-L16384__num_enabled_3.json
RawDownsample512,raw_waveform,2048,1,0.502112,0.00101178,0.129603,0.000766291,0.0277812,0.00579577,0.444152,0.00286864,Baseline-RawDownsample512-L2048__num_enabled_1.json
RawDownsample512,raw_waveform,2048,2,0.501426,0.000564296,0.184445,0.00095282,-0.278918,0.0144183,0.248142,0.00123168,Baseline-RawDownsample512-L2048__num_enabled_2.json
RawDownsample512,raw_waveform,2048,3,0.501349,0.000630932,0.240678,0.000526344,-0.161714,0.00304855,0.216906,0.00152249,Baseline-RawDownsample512-L2048__num_enabled_3.json
RawDownsample512,raw_waveform,5000,1,0.501947,0.000922452,0.13084,0.000710791,-0.681219,0.0209899,0.423303,0.00191242,Baseline-RawDownsample512-L5000__num_enabled_1.json
RawDownsample512,raw_waveform,5000,2,0.50128,0.000382357,0.16832,0.000563308,-3.4321,0.0609496,0.204308,0.00316358,Baseline-RawDownsample512-L5000__num_enabled_2.json
RawDownsample512,raw_waveform,5000,3,0.500979,0.000490182,0.240072,0.000605443,-120.327,1.79109,0.176061,0.00301052,Baseline-RawDownsample512-L5000__num_enabled_3.json
RawDownsample512,raw_waveform,512,1,0.502126,0.00135403,0.134175,0.0013018,0.173134,0.00339485,0.521325,0.00223119,Baseline-RawDownsample512-L512__num_enabled_1.json
RawDownsample512,raw_waveform,512,2,0.501552,0.000685087,0.176068,0.000538401,-0.0544002,0.00457793,0.315991,0.00125223,Baseline-RawDownsample512-L512__num_enabled_2.json
RawDownsample512,raw_waveform,512,3,0.501308,0.000447492,0.238944,0.000740196,-0.0273882,0.00135467,0.274893,0.00141404,Baseline-RawDownsample512-L512__num_enabled_3.json
StatsFFTCombined,statistical_spectral,128,1,0.99678,6.22498e-05,0.964026,0.000760382,-4.91131,0.0782771,0.77592,0.00126817,Baseline-StatsFFTCombined-L128__num_enabled_1.json
StatsFFTCombined,statistical_spectral,128,2,0.885501,0.000418419,0.661456,0.000550339,-5.99606,0.0582345,0.495087,0.00132635,Baseline-StatsFFTCombined-L128__num_enabled_2.json
StatsFFTCombined,statistical_spectral,128,3,0.808676,0.000688177,0.605416,0.000975601,-10.1096,0.102697,0.432786,0.000973002,Baseline-StatsFFTCombined-L128__num_enabled_3.json
StatsFFTCombined,statistical_spectral,16384,1,0.999113,4.24386e-05,0.989859,0.000582388,-14.6526,0.278432,0.738637,0.00148763,Baseline-StatsFFTCombined-L16384__num_enabled_1.json
StatsFFTCombined,statistical_spectral,16384,2,0.920142,0.000404936,0.770795,0.000898143,-101.999,1.01818,0.339218,0.00188983,Baseline-StatsFFTCombined-L16384__num_enabled_2.json
StatsFFTCombined,statistical_spectral,16384,3,0.858049,0.000607131,0.695565,0.00103373,-83.1268,0.770488,0.273689,0.00153348,Baseline-StatsFFTCombined-L16384__num_enabled_3.json
StatsFFTCombined,statistical_spectral,2048,1,0.999565,3.15682e-05,0.99476,0.000429997,-7.96999,0.0733614,0.765616,0.00145741,Baseline-StatsFFTCombined-L2048__num_enabled_1.json
StatsFFTCombined,statistical_spectral,2048,2,0.931259,0.000327998,0.787491,0.000630935,-12.035,0.177119,0.479555,0.00196709,Baseline-StatsFFTCombined-L2048__num_enabled_2.json
StatsFFTCombined,statistical_spectral,2048,3,0.86667,0.000490343,0.710068,0.000704367,-18.7517,0.148267,0.416804,0.00163804,Baseline-StatsFFTCombined-L2048__num_enabled_3.json
StatsFFTCombined,statistical_spectral,5000,1,0.999343,3.77311e-05,0.990488,0.000871834,-10.4671,0.127335,0.730549,0.00172315,Baseline-StatsFFTCombined-L5000__num_enabled_1.json
StatsFFTCombined,statistical_spectral,5000,2,0.928753,0.000280624,0.782101,0.000599929,-24.1672,0.373382,0.432765,0.00253218,Baseline-StatsFFTCombined-L5000__num_enabled_2.json
StatsFFTCombined,statistical_spectral,5000,3,0.868343,0.000409606,0.709415,0.000772411,-30.0322,0.392892,0.314096,0.00194426,Baseline-StatsFFTCombined-L5000__num_enabled_3.json
StatsFFTCombined,statistical_spectral,512,1,0.999377,3.94648e-05,0.99325,0.000585692,-9.13242,0.0933627,0.750575,0.00172495,Baseline-StatsFFTCombined-L512__num_enabled_1.json
StatsFFTCombined,statistical_spectral,512,2,0.92213,0.000297013,0.752343,0.000613481,-6.54685,0.0873542,0.525579,0.00696717,Baseline-StatsFFTCombined-L512__num_enabled_2.json
StatsFFTCombined,statistical_spectral,512,3,0.852141,0.000446148,0.673666,0.000713444,-6.54737,0.0542171,0.406962,0.000776927,Baseline-StatsFFTCombined-L512__num_enabled_3.json
